Name,wins,losses,Win Points,Win Advantages,Win Submissions,Win Decision,Win Penalties,Win EBI / OT,Win DQ,Losses Points,Losses Advantages,Losses Submissions,Losses Decision,Losses Penalties,Losses EBI / OT,Losses DQ
Dominyka Obelenyte,20 WINS,1 LOSSES,7,2,8,3,0,0,0,0,0,0,1,0,0,0
Eduardo Avelar,45 WINS,27 LOSSES,15,3,25,2,0,0,0,7,2,14,3,0,0,0
Eduardo Avelar,45 WINS,27 LOSSES,15,3,25,2,0,0,0,7,2,14,3,0,0,0
Eduardo Barboza,11 WINS,9 LOSSES,3,2,2,2,1,0,0,2,1,5,1,0,0,0
Eduardo Lopes,21 WINS,7 LOSSES,9,1,10,1,0,0,0,3,1,3,0,0,0,0
Eduardo Telles,40 WINS,41 LOSSES,19,4,16,0,0,1,0,17,11,10,2,1,0,0
Eduardo Tinoco,9 WINS,3 LOSSES,3,1,5,0,0,0,0,3,0,0,0,0,0,0
Eddie Cummings,25 WINS,3 LOSSES,0,0,21,4,0,0,0,0,0,1,0,1,1,0
Edwin Najmi,54 WINS,27 LOSSES,5,6,29,11,0,1,0,8,5,6,7,1,0,0
Junny Ocasio,26 WINS,11 LOSSES,7,0,11,6,1,0,1,5,1,2,3,0,0,0
Eldar “Yakuza” Rafigaev,99 WINS,27 LOSSES,16,0,76,5,0,0,2,18,2,6,0,0,0,1
Elisabeth Clay,26 WINS,11 LOSSES,1,0,23,2,0,0,0,5,0,1,5,0,0,0
Emilio Hernandez,43 WINS,46 LOSSES,9,1,30,2,1,0,0,21,0,24,1,0,0,0
Endres Barbosa,20 WINS,5 LOSSES,4,2,13,1,0,0,0,2,0,2,0,0,0,0
Eric Phan,11 WINS,6 LOSSES,5,2,3,0,0,0,1,2,2,0,2,0,0,0
Erich Munis,35 WINS,2 LOSSES,21,2,11,1,0,0,0,1,1,0,0,0,0,0
Erin Harpe,4 WINS,2 LOSSES,0,0,1,3,0,0,0,0,0,0,2,0,0,0
Espen Mathiesen,35 WINS,15 LOSSES,4,4,25,1,0,0,1,6,3,4,1,1,0,0
Estevan Martinez,29 WINS,28 LOSSES,3,0,23,2,0,1,0,19,2,5,1,0,1,0
Ethan Crelinsten,34 WINS,12 LOSSES,5,0,21,1,0,6,0,4,0,2,4,0,2,0
Fábio Alano,10 WINS,3 LOSSES,2,0,5,1,0,0,2,0,1,2,0,0,0,0
Fabio Caloi,67 WINS,34 LOSSES,18,12,33,4,0,0,0,20,4,8,0,1,0,0
Fabricio Andrey,37 WINS,5 LOSSES,19,1,17,0,0,0,0,3,1,1,0,0,0,0
Fabricio Werdum,32 WINS,13 LOSSES,20,0,12,0,0,0,0,9,0,3,1,0,0,0
Ffion Davies,42 WINS,8 LOSSES,9,2,30,1,0,0,0,1,0,6,1,0,0,0
Felipe Bezerra,26 WINS,22 LOSSES,13,6,2,2,1,0,1,8,2,7,5,0,0,0
Felipe Cesar,143 WINS,69 LOSSES,72,12,54,4,1,0,0,29,17,17,4,1,0,1
Felipe Pena “Preguiça”,147 WINS,20 LOSSES,61,7,74,3,0,0,1,7,5,5,3,0,0,0
Felipe Linhares,19 WINS,18 LOSSES,8,4,6,1,0,0,0,9,3,4,1,1,0,0
Fellipe Andrew,129 WINS,26 LOSSES,35,5,82,4,0,0,2,5,1,16,3,0,0,1
Fellipe Trovo,64 WINS,35 LOSSES,19,4,34,5,0,0,1,19,5,7,4,0,0,0
Frank Rosenthal,24 WINS,11 LOSSES,5,0,11,0,0,8,0,4,1,4,2,0,0,0
Fernando “Tererê”,37 WINS,12 LOSSES,22,2,12,1,0,0,0,8,1,2,0,0,0,1
Fernando Pontes “Margarida”,34 WINS,10 LOSSES,12,2,19,0,0,0,0,8,0,1,0,1,0,0
Fernando Vieira,17 WINS,6 LOSSES,7,1,9,0,0,0,0,2,3,1,0,0,0,0
Flávio Junqueira,13 WINS,7 LOSSES,6,0,7,0,0,0,0,4,1,2,0,0,0,0
Flavio Vianna,14 WINS,12 LOSSES,4,7,2,1,0,0,0,9,1,0,1,0,0,1
Francisco Cuneo,37 WINS,32 LOSSES,23,5,8,1,0,0,0,19,3,9,1,0,0,0
Gabriel Almeida,66 WINS,36 LOSSES,12,3,37,12,1,1,0,10,1,14,9,0,1,0
Gabriel Arges,89 WINS,23 LOSSES,31,15,33,10,0,0,0,8,2,4,5,1,0,3
Gabriel Costa “Maranhão”,20 WINS,12 LOSSES,8,0,9,3,0,0,0,8,0,4,0,0,0,0
Gabriel Figueiró,20 WINS,7 LOSSES,6,2,10,2,0,0,0,3,0,3,1,0,0,0
Gabriel Gaudio,9 WINS,8 LOSSES,7,0,2,0,0,0,0,7,0,1,0,0,0,0
Gabriel Henrique Oliveira,13 WINS,7 LOSSES,6,1,5,0,0,0,0,3,0,1,3,0,0,0
Gabriel Lucas,56 WINS,40 LOSSES,35,9,7,5,0,0,0,20,7,6,7,0,0,0
Gabriel Marangoni,79 WINS,37 LOSSES,32,2,42,2,0,0,0,19,6,9,3,0,0,0
Gabriel Moraes,24 WINS,13 LOSSES,15,2,4,3,0,0,0,9,1,1,1,0,0,0
Gabriel Rollo,84 WINS,38 LOSSES,34,13,29,5,2,0,0,17,8,7,5,1,0,0
Gabriel Vella,19 WINS,7 LOSSES,10,3,4,2,0,0,0,6,1,0,0,0,0,0
Gabriel Sousa,105 WINS,28 LOSSES,50,11,32,11,0,0,0,8,2,10,7,1,0,0
Gabrieli Pessanha,53 WINS,5 LOSSES,27,2,20,3,0,0,1,4,0,0,0,0,0,0
Gabrielle Garcia,71 WINS,9 LOSSES,25,5,37,3,1,0,0,2,0,2,4,1,0,0
Garry Tonon,71 WINS,25 LOSSES,6,1,49,7,2,4,0,17,1,4,1,1,1,0
Gerard Labinski,31 WINS,17 LOSSES,17,2,11,1,0,0,0,10,0,3,4,0,0,0
Jerry Rinaldi,5 WINS,3 LOSSES,4,0,1,0,0,0,0,2,0,1,0,0,0,0
Giancarlo Bodoni,25 WINS,14 LOSSES,6,2,16,1,0,0,0,4,2,4,4,0,0,0
Gilbert Burns “Durinho”,44 WINS,19 LOSSES,26,2,11,3,0,1,0,7,1,6,3,1,1,0
Gilson Nunes,76 WINS,24 LOSSES,26,7,42,0,0,0,1,14,4,3,3,0,0,0
Gordon Ryan,89 WINS,5 LOSSES,3,2,73,4,1,5,0,4,0,1,0,0,0,0
Grace Gundrum,4 WINS,2 LOSSES,0,0,3,1,0,0,0,0,0,0,2,0,0,0
